Est,DATE,STA,TEMP,SAL,Season,SAND,SILT,CLAY,TOC,DO,pH,mean_annual_SAL,SAL_anomaly
CB,2-Jul-2003,A,28.85999998,27.81499997,Summer,0.4286,0.3085,0.19035,0.36,6.164999992,8.064999983,26.93,-0.89
CB,9-Jul-2002,A,29.37999997,23.10499996,Summer,0.4286,0.3085,0.19035,0.36,6.104999997,8.004999988,24.24,1.14
CB,2-Jul-2003,A,28.85999998,27.81499997,Summer,0.4286,0.3085,0.19035,0.36,6.164999992,8.064999983,26.93,-0.89
CB,9-Jul-2002,A,29.37999997,23.10499996,Summer,0.4286,0.3085,0.19035,0.36,6.104999997,8.004999988,24.24,1.14
CB,2-Jul-2003,A,28.85999998,27.81499997,Summer,0.4286,0.3085,0.19035,0.36,6.164999992,8.064999983,26.93,-0.89
CB,9-Jul-2002,B,29.37499997,25.75999999,Summer,0.4122,0.38055,0.20375,0.52,5.629999995,8.149999976,21.06,-4.70
CB,2-Jul-2003,B,28.83499998,27.60499996,Summer,0.4122,0.38055,0.20375,0.52,5.61999999,8,22.84,-4.76
CB,9-Jul-2002,B,29.37499997,25.75999999,Summer,0.4122,0.38055,0.20375,0.52,5.629999995,8.149999976,21.06,-4.70
CB,2-Jul-2003,B,28.83499998,27.60499996,Summer,0.4122,0.38055,0.20375,0.52,5.61999999,8,22.84,-4.76
CB,9-Jul-2002,B,29.37499997,25.75999999,Summer,0.4122,0.38055,0.20375,0.52,5.629999995,8.149999976,21.06,-4.70
CB,2-Jul-2003,B,28.83499998,27.60499996,Summer,0.4122,0.38055,0.20375,0.52,5.61999999,8,22.84,-4.76
CB,9-Jul-2002,C,29.58499998,25.46999997,Summer,0.67645,0.1782,0.133125,0.27,5.964999996,8.169999987,25.08,-0.39
CB,2-Jul-2003,C,28.97499999,23.71499997,Summer,0.67645,0.1782,0.133125,0.27,6.214999989,8.139999986,25.85,2.14
